"id","name","group","0_5000_old","5000_10000_old","10000_15000_old","15000_20000_old","20000_25000_old","25000_30000_old","30000_35000_new","35000_38546_new"
"16221","питья","СУЩЕСТВИТЕЛЬНОЕ","2","3","1","0","0","4","0","0"
"16222","признаюсь","ГЛАГОЛ","0","0","0","0","0","0","0","1"
"16223","перемен","СУЩЕСТВИТЕЛЬНОЕ","1","3","0","0","0","0","0","0"
"16224","кожаный","ПРИЛАГАТЕЛЬНОЕ","1","0","0","0","0","0","2","0"
"16225","медленно","ПРИЛАГАТЕЛЬНОЕ","1","0","0","0","0","0","0","1"
"16226","разрушить","ИНФИНИТИВ","1","3","2","0","3","2","2","1"
"16227","никуда","НАРЕЧИЕ","0","1","1","1","0","0","0","0"
"16228","слухах","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","0","2","0"
"16229","заседание","СУЩЕСТВИТЕЛЬНОЕ","0","0","1","0","0","0","0","0"
"16230","угловых","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16231","вздрогнуло","ГЛАГОЛ","0","1","0","0","0","0","0","0"
"16232","копать","ИНФИНИТИВ","1","0","0","0","0","0","1","0"
"16233","продавалась","ГЛАГОЛ","0","0","1","0","0","0","0","0"
"16234","неведомой","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16235","художником","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","1","1","0","0"
"16236","истине","СУЩЕСТВИТЕЛЬНОЕ","0","6","5","9","10","4","5","23"
"16237","голова","СУЩЕСТВИТЕЛЬНОЕ","1","7","5","4","5","9","1","1"
"16238","материю","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","0","1","0"
"16239","переходит","ГЛАГОЛ","0","1","0","1","1","0","0","0"
"16241","гера","СУЩЕСТВИТЕЛЬНОЕ","1","0","3","0","0","0","0","0"
"16242","дало","ГЛАГОЛ","0","0","0","1","0","1","2","2"
"16243","сообразно","ПРИЛАГАТЕЛЬНОЕ","0","2","0","0","0","0","0","4"
"16244","пеших","ПРИЛАГАТЕЛЬНОЕ","2","6","8","0","0","7","0","1"
"16245","избавим","ГЛАГОЛ","0","0","0","0","0","0","1","0"
"16246","прямому","ПРИЛАГАТЕЛЬНОЕ","0","0","1","0","0","0","0","0"
"16247","итак","ВВОДНОЕ","34","71","37","23","37","64","113","130"
"16248","ветры","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","1","1","4","4","0"
"16249","украшенных","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16250","петухов","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","0","1","0"
"16251","сеет","ГЛАГОЛ","0","0","0","2","2","1","2","1"
"16252","видимое","ПРИЛАГАТЕЛЬНОЕ","0","0","0","2","0","1","0","3"
"16253","неподвижны","ПРИЛАГАТЕЛЬНОЕ","0","1","0","0","0","0","0","0"
"16254","отрок","СУЩЕСТВИТЕЛЬНОЕ","3","22","2","3","1","0","3","0"
"16255","обидит","ГЛАГОЛ","0","0","1","0","0","2","0","0"
"16256","оставались","ГЛАГОЛ","1","2","5","1","2","4","1","0"
"16257","вкладами","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","0","1","0"
"16258","кормить","ИНФИНИТИВ","1","2","0","0","0","3","0","0"
"16259","останавливает","ГЛАГОЛ","0","0","0","2","0","0","0","0"
"16260","сближение","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16261","наступление","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16262","убеждали","ГЛАГОЛ","0","0","0","0","0","3","1","2"
"16263","летал","ГЛАГОЛ","0","0","0","0","1","1","0","0"
"16264","заслуженный","ПРИЛАГАТЕЛЬНОЕ","0","0","0","1","0","0","0","0"
"16265","вонзились","ГЛАГОЛ","0","0","0","1","0","0","0","0"
"16266","проникнуть","ИНФИНИТИВ","0","0","0","0","0","0","0","1"
"16267","павших","ПРИЛАГАТЕЛЬНОЕ","0","2","2","0","1","3","0","0"
"16268","конце","СУЩЕСТВИТЕЛЬНОЕ","6","1","1","1","6","5","0","0"
"16269","книжку","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","0","0","3"
"16270","наставник","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","2","0","0","7","1"
"16271","вихре","СУЩЕСТВИТЕЛЬНОЕ","0","2","1","1","0","1","0","0"
"16272","благих","ПРИЛАГАТЕЛЬНОЕ","0","1","0","1","0","0","0","0"
"16273","шуме","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","2","0","0","0"
"16274","разложу","ГЛАГОЛ","0","0","0","0","0","1","0","0"
"16275","ненавижу","ГЛАГОЛ","0","0","0","8","3","3","0","3"
"16276","заперлись","ГЛАГОЛ","0","1","0","0","0","3","0","0"
"16277","доверял","ГЛАГОЛ","0","0","0","0","0","0","0","1"
"16278","знающем","ПРИЛАГАТЕЛЬНОЕ","0","0","0","1","0","0","0","0"
"16279","сокола","СУЩЕСТВИТЕЛЬНОЕ","1","1","0","0","0","0","0","0"
"16280","оставлять","ИНФИНИТИВ","1","0","3","0","0","2","2","4"
"16281","противникам","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","1","2","0","0"
"16282","станете","ГЛАГОЛ","1","3","1","0","0","0","2","0"
"16283","приготовлю","ГЛАГОЛ","1","2","1","0","1","1","1","0"
"16284","иерусалиму","СУЩЕСТВИТЕЛЬНОЕ","0","0","9","1","8","7","3","2"
"16285","другой","ПРИЛАГАТЕЛЬНОЕ","43","49","22","10","23","42","57","18"
"16286","правой","ПРИЛАГАТЕЛЬНОЕ","8","4","8","3","8","11","2","1"
"16287","досада","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","1","3","0","0","0"
"16288","странниками","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","1","0","1","0"
"16289","необычайной","ПРИЛАГАТЕЛЬНОЕ","0","0","0","1","0","0","0","0"
"7962","ответили","ГЛАГОЛ","0","0","1","0","0","0","0","0"
"16290","верхних","ПРИЛАГАТЕЛЬНОЕ","0","0","1","0","2","1","0","0"
"16291","пребывало","ГЛАГОЛ","0","6","4","0","0","0","0","0"
"16292","засыпали","ГЛАГОЛ","1","0","1","0","0","0","0","0"
"16293","бороде","СУЩЕСТВИТЕЛЬНОЕ","2","2","2","0","1","0","0","0"
